age_group,sex,educ,province,n
55-64,Male,HS Diploma or equivalent,Prince Edward Island,81
55-64,Male,HS Diploma or equivalent,Quebec,3544
55-64,Male,HS Diploma or equivalent,Saskatchewan,557
55-64,Male,"No certificate, diploma or degree",Alberta,1012
55-64,Male,"No certificate, diploma or degree",British Columbia,1208
55-64,Male,"No certificate, diploma or degree",Manitoba,463
55-64,Male,"No certificate, diploma or degree",New Brunswick,340
55-64,Male,"No certificate, diploma or degree",Newfoundland and Labrador,299
55-64,Male,"No certificate, diploma or degree",Northern Canada,36
55-64,Male,"No certificate, diploma or degree",Nova Scotia,398
55-64,Male,"No certificate, diploma or degree",Ontario,3676
55-64,Male,"No certificate, diploma or degree",Prince Edward Island,62
55-64,Male,"No certificate, diploma or degree",Quebec,2997
55-64,Male,"No certificate, diploma or degree",Saskatchewan,358
55-64,Male,Non-university degree,Alberta,2658
55-64,Male,Non-university degree,British Columbia,3072
55-64,Male,Non-university degree,Manitoba,701
55-64,Male,Non-university degree,New Brunswick,542
55-64,Male,Non-university degree,Newfoundland and Labrador,473
55-64,Male,Non-university degree,Northern Canada,59
55-64,Male,Non-university degree,Nova Scotia,724
55-64,Male,Non-university degree,Ontario,7817
55-64,Male,Non-university degree,Prince Edward Island,85
55-64,Male,Non-university degree,Quebec,6149
55-64,Male,Non-university degree,Saskatchewan,628
65-74,Female,Bachelor's degree,Alberta,146
65-74,Female,Bachelor's degree,British Columbia,259
65-74,Female,Bachelor's degree,Manitoba,43
65-74,Female,Bachelor's degree,New Brunswick,28
65-74,Female,Bachelor's degree,Newfoundland and Labrador,13
65-74,Female,Bachelor's degree,Nova Scotia,41
65-74,Female,Bachelor's degree,Ontario,697
65-74,Female,Bachelor's degree,Prince Edward Island,6
65-74,Female,Bachelor's degree,Quebec,412
65-74,Female,Bachelor's degree,Saskatchewan,35
65-74,Female,Degree above Bachelor's,Alberta,66
65-74,Female,Degree above Bachelor's,British Columbia,159
65-74,Female,Degree above Bachelor's,Manitoba,22
65-74,Female,Degree above Bachelor's,New Brunswick,18
65-74,Female,Degree above Bachelor's,Newfoundland and Labrador,7
65-74,Female,Degree above Bachelor's,Northern Canada,1
65-74,Female,Degree above Bachelor's,Nova Scotia,25
65-74,Female,Degree above Bachelor's,Ontario,376
65-74,Female,Degree above Bachelor's,Prince Edward Island,2
65-74,Female,Degree above Bachelor's,Quebec,219
65-74,Female,Degree above Bachelor's,Saskatchewan,11
65-74,Female,HS Diploma or equivalent,Alberta,448
65-74,Female,HS Diploma or equivalent,British Columbia,824
65-74,Female,HS Diploma or equivalent,Manitoba,183
65-74,Female,HS Diploma or equivalent,New Brunswick,110
65-74,Female,HS Diploma or equivalent,Newfoundland and Labrador,96
65-74,Female,HS Diploma or equivalent,Nova Scotia,135
65-74,Female,HS Diploma or equivalent,Ontario,2077
65-74,Female,HS Diploma or equivalent,Prince Edward Island,22
65-74,Female,HS Diploma or equivalent,Quebec,1344
65-74,Female,HS Diploma or equivalent,Saskatchewan,128
65-74,Female,"No certificate, diploma or degree",Alberta,382
65-74,Female,"No certificate, diploma or degree",British Columbia,589
65-74,Female,"No certificate, diploma or degree",Manitoba,161
65-74,Female,"No certificate, diploma or degree",New Brunswick,177
65-74,Female,"No certificate, diploma or degree",Newfoundland and Labrador,153
65-74,Female,"No certificate, diploma or degree",Northern Canada,8
65-74,Female,"No certificate, diploma or degree",Nova Scotia,192
65-74,Female,"No certificate, diploma or degree",Ontario,2080
65-74,Female,"No certificate, diploma or degree",Prince Edward Island,18
65-74,Female,"No certificate, diploma or degree",Quebec,1533
65-74,Female,"No certificate, diploma or degree",Saskatchewan,137
65-74,Female,Non-university degree,Alberta,458
65-74,Female,Non-university degree,British Columbia,824
65-74,Female,Non-university degree,Manitoba,182
65-74,Female,Non-university degree,New Brunswick,128
65-74,Female,Non-university degree,Newfoundland and Labrador,73
65-74,Female,Non-university degree,Northern Canada,1
65-74,Female,Non-university degree,Nova Scotia,249
65-74,Female,Non-university degree,Ontario,1887
65-74,Female,Non-university degree,Prince Edward Island,32
65-74,Female,Non-university degree,Quebec,1364
65-74,Female,Non-university degree,Saskatchewan,168
65-74,Male,Bachelor's degree,Alberta,175
65-74,Male,Bachelor's degree,British Columbia,331
65-74,Male,Bachelor's degree,Manitoba,46
65-74,Male,Bachelor's degree,New Brunswick,25
65-74,Male,Bachelor's degree,Newfoundland and Labrador,18
65-74,Male,Bachelor's degree,Northern Canada,1
65-74,Male,Bachelor's degree,Nova Scotia,48
65-74,Male,Bachelor's degree,Ontario,773
65-74,Male,Bachelor's degree,Prince Edward Island,4
65-74,Male,Bachelor's degree,Quebec,446
65-74,Male,Bachelor's degree,Saskatchewan,43
65-74,Male,Degree above Bachelor's,Alberta,141
65-74,Male,Degree above Bachelor's,British Columbia,307
65-74,Male,Degree above Bachelor's,Manitoba,45
65-74,Male,Degree above Bachelor's,New Brunswick,33
65-74,Male,Degree above Bachelor's,Newfoundland and Labrador,17
65-74,Male,Degree above Bachelor's,Nova Scotia,61
65-74,Male,Degree above Bachelor's,Ontario,691
65-74,Male,Degree above Bachelor's,Prince Edward Island,4
65-74,Male,Degree above Bachelor's,Quebec,438
65-74,Male,Degree above Bachelor's,Saskatchewan,23
65-74,Male,HS Diploma or equivalent,Alberta,309
65-74,Male,HS Diploma or equivalent,British Columbia,569
65-74,Male,HS Diploma or equivalent,Manitoba,112
65-74,Male,HS Diploma or equivalent,New Brunswick,68
65-74,Male,HS Diploma or equivalent,Newfoundland and Labrador,69
65-74,Male,HS Diploma or equivalent,Northern Canada,3
65-74,Male,HS Diploma or equivalent,Nova Scotia,108
65-74,Male,HS Diploma or equivalent,Ontario,1349
65-74,Male,HS Diploma or equivalent,Prince Edward Island,15
65-74,Male,HS Diploma or equivalent,Quebec,1073
65-74,Male,HS Diploma or equivalent,Saskatchewan,84
65-74,Male,"No certificate, diploma or degree",Alberta,342
65-74,Male,"No certificate, diploma or degree",British Columbia,477
65-74,Male,"No certificate, diploma or degree",Manitoba,154
65-74,Male,"No certificate, diploma or degree",New Brunswick,160
65-74,Male,"No certificate, diploma or degree",Newfoundland and Labrador,118
65-74,Male,"No certificate, diploma or degree",Northern Canada,8
65-74,Male,"No certificate, diploma or degree",Nova Scotia,179
65-74,Male,"No certificate, diploma or degree",Ontario,1558
65-74,Male,"No certificate, diploma or degree",Prince Edward Island,32
65-74,Male,"No certificate, diploma or degree",Quebec,1189
65-74,Male,"No certificate, diploma or degree",Saskatchewan,138
65-74,Male,Non-university degree,Alberta,521
65-74,Male,Non-university degree,British Columbia,856
65-74,Male,Non-university degree,Manitoba,171
65-74,Male,Non-university degree,New Brunswick,146
65-74,Male,Non-university degree,Newfoundland and Labrador,103
65-74,Male,Non-university degree,Northern Canada,9
65-74,Male,Non-university degree,Nova Scotia,171
65-74,Male,Non-university degree,Ontario,1979
65-74,Male,Non-university degree,Prince Edward Island,21
65-74,Male,Non-university degree,Quebec,1476
65-74,Male,Non-university degree,Saskatchewan,123
75+,Female,Bachelor's degree,Alberta,406
75+,Female,Bachelor's degree,British Columbia,781
75+,Female,Bachelor's degree,Manitoba,165
75+,Female,Bachelor's degree,New Brunswick,97
75+,Female,Bachelor's degree,Newfoundland and Labrador,41
75+,Female,Bachelor's degree,Northern Canada,4
75+,Female,Bachelor's degree,Nova Scotia,145
75+,Female,Bachelor's degree,Ontario,1959
75+,Female,Bachelor's degree,Prince Edward Island,13
75+,Female,Bachelor's degree,Quebec,940
75+,Female,Bachelor's degree,Saskatchewan,97
75+,Female,Degree above Bachelor's,Alberta,167
75+,Female,Degree above Bachelor's,British Columbia,480
75+,Female,Degree above Bachelor's,Manitoba,60
75+,Female,Degree above Bachelor's,New Brunswick,31
75+,Female,Degree above Bachelor's,Newfoundland and Labrador,22
75+,Female,Degree above Bachelor's,Northern Canada,1
75+,Female,Degree above Bachelor's,Nova Scotia,87
75+,Female,Degree above Bachelor's,Ontario,1037
75+,Female,Degree above Bachelor's,Prince Edward Island,11
75+,Female,Degree above Bachelor's,Quebec,486
75+,Female,Degree above Bachelor's,Saskatchewan,36
75+,Female,HS Diploma or equivalent,Alberta,1324
75+,Female,HS Diploma or equivalent,British Columbia,2609
75+,Female,HS Diploma or equivalent,Manitoba,489
75+,Female,HS Diploma or equivalent,New Brunswick,373
75+,Female,HS Diploma or equivalent,Newfoundland and Labrador,265
75+,Female,HS Diploma or equivalent,Northern Canada,12
75+,Female,HS Diploma or equivalent,Nova Scotia,421
75+,Female,HS Diploma or equivalent,Ontario,6672
75+,Female,HS Diploma or equivalent,Prince Edward Island,54
75+,Female,HS Diploma or equivalent,Quebec,3908
75+,Female,HS Diploma or equivalent,Saskatchewan,400
75+,Female,"No certificate, diploma or degree",Alberta,1360
75+,Female,"No certificate, diploma or degree",British Columbia,2211
75+,Female,"No certificate, diploma or degree",Manitoba,658
75+,Female,"No certificate, diploma or degree",New Brunswick,553
75+,Female,"No certificate, diploma or degree",Newfoundland and Labrador,420
75+,Female,"No certificate, diploma or degree",Northern Canada,19
75+,Female,"No certificate, diploma or degree",Nova Scotia,596
75+,Female,"No certificate, diploma or degree",Ontario,7473
75+,Female,"No certificate, diploma or degree",Prince Edward Island,75
75+,Female,"No certificate, diploma or degree",Quebec,5350
75+,Female,"No certificate, diploma or degree",Saskatchewan,573
75+,Female,Non-university degree,Alberta,1345
75+,Female,Non-university degree,British Columbia,2279
75+,Female,Non-university degree,Manitoba,493
75+,Female,Non-university degree,New Brunswick,377
75+,Female,Non-university degree,Newfoundland and Labrador,236
75+,Female,Non-university degree,Northern Canada,12
75+,Female,Non-university degree,Nova Scotia,551
75+,Female,Non-university degree,Ontario,5695
75+,Female,Non-university degree,Prince Edward Island,84
75+,Female,Non-university degree,Quebec,3524
75+,Female,Non-university degree,Saskatchewan,503
75+,Male,Bachelor's degree,Alberta,498
75+,Male,Bachelor's degree,British Columbia,853
75+,Male,Bachelor's degree,Manitoba,157
75+,Male,Bachelor's degree,New Brunswick,82
75+,Male,Bachelor's degree,Newfoundland and Labrador,40
75+,Male,Bachelor's degree,Northern Canada,6
75+,Male,Bachelor's degree,Nova Scotia,131
75+,Male,Bachelor's degree,Ontario,2219
75+,Male,Bachelor's degree,Prince Edward Island,21
75+,Male,Bachelor's degree,Quebec,1072
75+,Male,Bachelor's degree,Saskatchewan,126
75+,Male,Degree above Bachelor's,Alberta,326
75+,Male,Degree above Bachelor's,British Columbia,734
75+,Male,Degree above Bachelor's,Manitoba,100
75+,Male,Degree above Bachelor's,New Brunswick,71
75+,Male,Degree above Bachelor's,Newfoundland and Labrador,41
75+,Male,Degree above Bachelor's,Northern Canada,2
75+,Male,Degree above Bachelor's,Nova Scotia,101
75+,Male,Degree above Bachelor's,Ontario,1854
75+,Male,Degree above Bachelor's,Prince Edward Island,11
75+,Male,Degree above Bachelor's,Quebec,877
75+,Male,Degree above Bachelor's,Saskatchewan,52
75+,Male,HS Diploma or equivalent,Alberta,824
75+,Male,HS Diploma or equivalent,British Columbia,1654
75+,Male,HS Diploma or equivalent,Manitoba,338
75+,Male,HS Diploma or equivalent,New Brunswick,219
75+,Male,HS Diploma or equivalent,Newfoundland and Labrador,179
75+,Male,HS Diploma or equivalent,Northern Canada,5
75+,Male,HS Diploma or equivalent,Nova Scotia,272
75+,Male,HS Diploma or equivalent,Ontario,4146
75+,Male,HS Diploma or equivalent,Prince Edward Island,43
75+,Male,HS Diploma or equivalent,Quebec,2537
75+,Male,HS Diploma or equivalent,Saskatchewan,324
75+,Male,"No certificate, diploma or degree",Alberta,1042
75+,Male,"No certificate, diploma or degree",British Columbia,1600
75+,Male,"No certificate, diploma or degree",Manitoba,491
75+,Male,"No certificate, diploma or degree",New Brunswick,463
75+,Male,"No certificate, diploma or degree",Newfoundland and Labrador,316
75+,Male,"No certificate, diploma or degree",Northern Canada,21
75+,Male,"No certificate, diploma or degree",Nova Scotia,461
75+,Male,"No certificate, diploma or degree",Ontario,5179
75+,Male,"No certificate, diploma or degree",Prince Edward Island,72
75+,Male,"No certificate, diploma or degree",Quebec,3606
75+,Male,"No certificate, diploma or degree",Saskatchewan,502
75+,Male,Non-university degree,Alberta,1384
75+,Male,Non-university degree,British Columbia,2485
75+,Male,Non-university degree,Manitoba,433
75+,Male,Non-university degree,New Brunswick,394
75+,Male,Non-university degree,Newfoundland and Labrador,247
75+,Male,Non-university degree,Northern Canada,14
75+,Male,Non-university degree,Nova Scotia,535
75+,Male,Non-university degree,Ontario,5787
75+,Male,Non-university degree,Prince Edward Island,54
75+,Male,Non-university degree,Quebec,3784
75+,Male,Non-university degree,Saskatchewan,393
