age_group,sex,educ,province,n
18-24,Male,Non-university degree,Quebec,3477
18-24,Male,Non-university degree,Saskatchewan,174
25-34,Female,Bachelor's degree,Alberta,2334
25-34,Female,Bachelor's degree,British Columbia,2303
25-34,Female,Bachelor's degree,Manitoba,610
25-34,Female,Bachelor's degree,New Brunswick,259
25-34,Female,Bachelor's degree,Newfoundland and Labrador,191
25-34,Female,Bachelor's degree,Northern Canada,38
25-34,Female,Bachelor's degree,Nova Scotia,408
25-34,Female,Bachelor's degree,Ontario,7017
25-34,Female,Bachelor's degree,Prince Edward Island,64
25-34,Female,Bachelor's degree,Quebec,3221
25-34,Female,Bachelor's degree,Saskatchewan,541
25-34,Female,Degree above Bachelor's,Alberta,631
25-34,Female,Degree above Bachelor's,British Columbia,805
25-34,Female,Degree above Bachelor's,Manitoba,158
25-34,Female,Degree above Bachelor's,New Brunswick,70
25-34,Female,Degree above Bachelor's,Newfoundland and Labrador,65
25-34,Female,Degree above Bachelor's,Northern Canada,11
25-34,Female,Degree above Bachelor's,Nova Scotia,128
25-34,Female,Degree above Bachelor's,Ontario,2889
25-34,Female,Degree above Bachelor's,Prince Edward Island,9
25-34,Female,Degree above Bachelor's,Quebec,1593
25-34,Female,Degree above Bachelor's,Saskatchewan,115
25-34,Female,HS Diploma or equivalent,Alberta,1966
25-34,Female,HS Diploma or equivalent,British Columbia,1774
25-34,Female,HS Diploma or equivalent,Manitoba,587
25-34,Female,HS Diploma or equivalent,New Brunswick,254
25-34,Female,HS Diploma or equivalent,Newfoundland and Labrador,184
25-34,Female,HS Diploma or equivalent,Northern Canada,53
25-34,Female,HS Diploma or equivalent,Nova Scotia,291
25-34,Female,HS Diploma or equivalent,Ontario,4087
25-34,Female,HS Diploma or equivalent,Prince Edward Island,40
25-34,Female,HS Diploma or equivalent,Quebec,1645
25-34,Female,HS Diploma or equivalent,Saskatchewan,495
25-34,Female,"No certificate, diploma or degree",Alberta,665
25-34,Female,"No certificate, diploma or degree",British Columbia,414
25-34,Female,"No certificate, diploma or degree",Manitoba,208
25-34,Female,"No certificate, diploma or degree",New Brunswick,39
25-34,Female,"No certificate, diploma or degree",Newfoundland and Labrador,58
25-34,Female,"No certificate, diploma or degree",Northern Canada,40
25-34,Female,"No certificate, diploma or degree",Nova Scotia,83
25-34,Female,"No certificate, diploma or degree",Ontario,1442
25-34,Female,"No certificate, diploma or degree",Prince Edward Island,14
25-34,Female,"No certificate, diploma or degree",Quebec,1040
25-34,Female,"No certificate, diploma or degree",Saskatchewan,160
25-34,Female,Non-university degree,Alberta,2555
25-34,Female,Non-university degree,British Columbia,2333
25-34,Female,Non-university degree,Manitoba,556
25-34,Female,Non-university degree,New Brunswick,396
25-34,Female,Non-university degree,Newfoundland and Labrador,283
25-34,Female,Non-university degree,Northern Canada,38
25-34,Female,Non-university degree,Nova Scotia,466
25-34,Female,Non-university degree,Ontario,7037
25-34,Female,Non-university degree,Prince Edward Island,59
25-34,Female,Non-university degree,Quebec,5538
25-34,Female,Non-university degree,Saskatchewan,591
25-34,Male,Bachelor's degree,Alberta,1634
25-34,Male,Bachelor's degree,British Columbia,1712
25-34,Male,Bachelor's degree,Manitoba,411
25-34,Male,Bachelor's degree,New Brunswick,149
25-34,Male,Bachelor's degree,Newfoundland and Labrador,99
25-34,Male,Bachelor's degree,Northern Canada,24
25-34,Male,Bachelor's degree,Nova Scotia,255
25-34,Male,Bachelor's degree,Ontario,4941
25-34,Male,Bachelor's degree,Prince Edward Island,35
25-34,Male,Bachelor's degree,Quebec,2080
25-34,Male,Bachelor's degree,Saskatchewan,328
25-34,Male,Degree above Bachelor's,Alberta,435
25-34,Male,Degree above Bachelor's,British Columbia,487
25-34,Male,Degree above Bachelor's,Manitoba,85
25-34,Male,Degree above Bachelor's,New Brunswick,42
25-34,Male,Degree above Bachelor's,Newfoundland and Labrador,22
25-34,Male,Degree above Bachelor's,Northern Canada,7
25-34,Male,Degree above Bachelor's,Nova Scotia,66
25-34,Male,Degree above Bachelor's,Ontario,1870
25-34,Male,Degree above Bachelor's,Prince Edward Island,7
25-34,Male,Degree above Bachelor's,Quebec,1076
25-34,Male,Degree above Bachelor's,Saskatchewan,72
25-34,Male,HS Diploma or equivalent,Alberta,2367
25-34,Male,HS Diploma or equivalent,British Columbia,2363
25-34,Male,HS Diploma or equivalent,Manitoba,710
25-34,Male,HS Diploma or equivalent,New Brunswick,316
25-34,Male,HS Diploma or equivalent,Newfoundland and Labrador,151
25-34,Male,HS Diploma or equivalent,Northern Canada,48
25-34,Male,HS Diploma or equivalent,Nova Scotia,370
25-34,Male,HS Diploma or equivalent,Ontario,5802
25-34,Male,HS Diploma or equivalent,Prince Edward Island,55
25-34,Male,HS Diploma or equivalent,Quebec,2151
25-34,Male,HS Diploma or equivalent,Saskatchewan,660
25-34,Male,"No certificate, diploma or degree",Alberta,871
25-34,Male,"No certificate, diploma or degree",British Columbia,592
25-34,Male,"No certificate, diploma or degree",Manitoba,330
25-34,Male,"No certificate, diploma or degree",New Brunswick,101
25-34,Male,"No certificate, diploma or degree",Newfoundland and Labrador,74
25-34,Male,"No certificate, diploma or degree",Northern Canada,49
25-34,Male,"No certificate, diploma or degree",Nova Scotia,120
25-34,Male,"No certificate, diploma or degree",Ontario,2036
25-34,Male,"No certificate, diploma or degree",Prince Edward Island,13
25-34,Male,"No certificate, diploma or degree",Quebec,1706
25-34,Male,"No certificate, diploma or degree",Saskatchewan,245
25-34,Male,Non-university degree,Alberta,2840
25-34,Male,Non-university degree,British Columbia,2440
25-34,Male,Non-university degree,Manitoba,560
25-34,Male,Non-university degree,New Brunswick,368
25-34,Male,Non-university degree,Newfoundland and Labrador,322
25-34,Male,Non-university degree,Northern Canada,55
25-34,Male,Non-university degree,Nova Scotia,451
25-34,Male,Non-university degree,Ontario,6927
25-34,Male,Non-university degree,Prince Edward Island,51
25-34,Male,Non-university degree,Quebec,5935
25-34,Male,Non-university degree,Saskatchewan,620
35-44,Female,Bachelor's degree,Alberta,1983
35-44,Female,Bachelor's degree,British Columbia,1961
35-44,Female,Bachelor's degree,Manitoba,570
35-44,Female,Bachelor's degree,New Brunswick,292
35-44,Female,Bachelor's degree,Newfoundland and Labrador,135
35-44,Female,Bachelor's degree,Northern Canada,41
35-44,Female,Bachelor's degree,Nova Scotia,355
35-44,Female,Bachelor's degree,Ontario,6280
35-44,Female,Bachelor's degree,Prince Edward Island,48
35-44,Female,Bachelor's degree,Quebec,3168
35-44,Female,Bachelor's degree,Saskatchewan,394
35-44,Female,Degree above Bachelor's,Alberta,753
35-44,Female,Degree above Bachelor's,British Columbia,985
35-44,Female,Degree above Bachelor's,Manitoba,156
35-44,Female,Degree above Bachelor's,New Brunswick,86
35-44,Female,Degree above Bachelor's,Newfoundland and Labrador,61
35-44,Female,Degree above Bachelor's,Northern Canada,15
35-44,Female,Degree above Bachelor's,Nova Scotia,153
35-44,Female,Degree above Bachelor's,Ontario,3036
35-44,Female,Degree above Bachelor's,Prince Edward Island,14
35-44,Female,Degree above Bachelor's,Quebec,1689
35-44,Female,Degree above Bachelor's,Saskatchewan,124
35-44,Female,HS Diploma or equivalent,Alberta,1519
35-44,Female,HS Diploma or equivalent,British Columbia,1669
35-44,Female,HS Diploma or equivalent,Manitoba,488
35-44,Female,HS Diploma or equivalent,New Brunswick,286
35-44,Female,HS Diploma or equivalent,Newfoundland and Labrador,166
35-44,Female,HS Diploma or equivalent,Northern Canada,29
35-44,Female,HS Diploma or equivalent,Nova Scotia,283
35-44,Female,HS Diploma or equivalent,Ontario,4447
35-44,Female,HS Diploma or equivalent,Prince Edward Island,44
35-44,Female,HS Diploma or equivalent,Quebec,1746
35-44,Female,HS Diploma or equivalent,Saskatchewan,426
35-44,Female,"No certificate, diploma or degree",Alberta,602
35-44,Female,"No certificate, diploma or degree",British Columbia,506
35-44,Female,"No certificate, diploma or degree",Manitoba,197
35-44,Female,"No certificate, diploma or degree",New Brunswick,75
35-44,Female,"No certificate, diploma or degree",Newfoundland and Labrador,72
35-44,Female,"No certificate, diploma or degree",Northern Canada,26
35-44,Female,"No certificate, diploma or degree",Nova Scotia,82
35-44,Female,"No certificate, diploma or degree",Ontario,1584
35-44,Female,"No certificate, diploma or degree",Prince Edward Island,10
35-44,Female,"No certificate, diploma or degree",Quebec,1153
35-44,Female,"No certificate, diploma or degree",Saskatchewan,95
35-44,Female,Non-university degree,Alberta,2580
35-44,Female,Non-university degree,British Columbia,2653
35-44,Female,Non-university degree,Manitoba,703
35-44,Female,Non-university degree,New Brunswick,487
35-44,Female,Non-university degree,Newfoundland and Labrador,417
35-44,Female,Non-university degree,Northern Canada,37
35-44,Female,Non-university degree,Nova Scotia,562
35-44,Female,Non-university degree,Ontario,7900
35-44,Female,Non-university degree,Prince Edward Island,88
35-44,Female,Non-university degree,Quebec,6162
35-44,Female,Non-university degree,Saskatchewan,633
35-44,Male,Bachelor's degree,Alberta,1361
35-44,Male,Bachelor's degree,British Columbia,1471
35-44,Male,Bachelor's degree,Manitoba,352
35-44,Male,Bachelor's degree,New Brunswick,176
35-44,Male,Bachelor's degree,Newfoundland and Labrador,107
35-44,Male,Bachelor's degree,Northern Canada,27
35-44,Male,Bachelor's degree,Nova Scotia,236
35-44,Male,Bachelor's degree,Ontario,4473
35-44,Male,Bachelor's degree,Prince Edward Island,26
35-44,Male,Bachelor's degree,Quebec,2204
35-44,Male,Bachelor's degree,Saskatchewan,255
35-44,Male,Degree above Bachelor's,Alberta,660
35-44,Male,Degree above Bachelor's,British Columbia,753
35-44,Male,Degree above Bachelor's,Manitoba,131
35-44,Male,Degree above Bachelor's,New Brunswick,57
35-44,Male,Degree above Bachelor's,Newfoundland and Labrador,47
35-44,Male,Degree above Bachelor's,Northern Canada,7
35-44,Male,Degree above Bachelor's,Nova Scotia,95
35-44,Male,Degree above Bachelor's,Ontario,2523
35-44,Male,Degree above Bachelor's,Prince Edward Island,8
35-44,Male,Degree above Bachelor's,Quebec,1412
35-44,Male,Degree above Bachelor's,Saskatchewan,100
35-44,Male,HS Diploma or equivalent,Alberta,1878
35-44,Male,HS Diploma or equivalent,British Columbia,1891
35-44,Male,HS Diploma or equivalent,Manitoba,545
35-44,Male,HS Diploma or equivalent,New Brunswick,343
35-44,Male,HS Diploma or equivalent,Newfoundland and Labrador,164
35-44,Male,HS Diploma or equivalent,Northern Canada,29
35-44,Male,HS Diploma or equivalent,Nova Scotia,365
35-44,Male,HS Diploma or equivalent,Ontario,5298
35-44,Male,HS Diploma or equivalent,Prince Edward Island,55
35-44,Male,HS Diploma or equivalent,Quebec,2158
35-44,Male,HS Diploma or equivalent,Saskatchewan,541
35-44,Male,"No certificate, diploma or degree",Alberta,770
35-44,Male,"No certificate, diploma or degree",British Columbia,646
35-44,Male,"No certificate, diploma or degree",Manitoba,259
35-44,Male,"No certificate, diploma or degree",New Brunswick,144
35-44,Male,"No certificate, diploma or degree",Newfoundland and Labrador,98
35-44,Male,"No certificate, diploma or degree",Northern Canada,32
35-44,Male,"No certificate, diploma or degree",Nova Scotia,150
35-44,Male,"No certificate, diploma or degree",Ontario,1989
35-44,Male,"No certificate, diploma or degree",Prince Edward Island,17
35-44,Male,"No certificate, diploma or degree",Quebec,1585
35-44,Male,"No certificate, diploma or degree",Saskatchewan,201
35-44,Male,Non-university degree,Alberta,2724
35-44,Male,Non-university degree,British Columbia,2486
35-44,Male,Non-university degree,Manitoba,653
35-44,Male,Non-university degree,New Brunswick,439
35-44,Male,Non-university degree,Newfoundland and Labrador,385
35-44,Male,Non-university degree,Northern Canada,51
35-44,Male,Non-university degree,Nova Scotia,504
35-44,Male,Non-university degree,Ontario,6827
35-44,Male,Non-university degree,Prince Edward Island,73
35-44,Male,Non-university degree,Quebec,6355
35-44,Male,Non-university degree,Saskatchewan,599
45-54,Female,Bachelor's degree,Alberta,1277
45-54,Female,Bachelor's degree,British Columbia,1696
45-54,Female,Bachelor's degree,Manitoba,394
45-54,Female,Bachelor's degree,New Brunswick,207
45-54,Female,Bachelor's degree,Newfoundland and Labrador,131
45-54,Female,Bachelor's degree,Northern Canada,30
45-54,Female,Bachelor's degree,Nova Scotia,310
45-54,Female,Bachelor's degree,Ontario,5465
45-54,Female,Bachelor's degree,Prince Edward Island,42
45-54,Female,Bachelor's degree,Quebec,2540
45-54,Female,Bachelor's degree,Saskatchewan,247
45-54,Female,Degree above Bachelor's,Alberta,506
45-54,Female,Degree above Bachelor's,British Columbia,891
45-54,Female,Degree above Bachelor's,Manitoba,125
45-54,Female,Degree above Bachelor's,New Brunswick,73
45-54,Female,Degree above Bachelor's,Newfoundland and Labrador,74
45-54,Female,Degree above Bachelor's,Northern Canada,8
45-54,Female,Degree above Bachelor's,Nova Scotia,141
